,callDateTime,priority,district,description,callNumber,incidentLocation,location
167,7/13/2015 11:40,Medium,ND,911/NO  VOICE,P151941152,3500 I 83 S,"(39.3714695,-76.6105829)"
168,7/13/2015 11:42,High,SW,Traffic Stop,P151941154,4100 FREDERICK AV,"(39.2819620,-76.6834430)"
169,7/13/2015 11:40,Medium,ND,911/NO  VOICE,P151941155,2500 W BELVEDERE AV,"(39.3535492,-76.6668878)"
170,7/13/2015 11:42,Medium,WD,911/NO  VOICE,P151941156,1300 LAURENS ST,"(39.3035403,-76.6391583)"
171,7/13/2015 11:42,Medium,CD,911/NO  VOICE,P151941158,1000 CATHEDRAL ST,"(39.3011812,-76.6180370)"
172,7/13/2015 11:41,Medium,WD,DISORDERLY,P151941159,600 BAKER ST,"(39.3082782,-76.6404077)"
173,7/13/2015 11:42,Low,WD,HIT AND RUN,P151941160,1700 APPLETON ST,"(39.3079300,-76.6491790)"
174,7/13/2015 11:41,Medium,WD,DISORDERLY,P151941161,2300 REISTERSTOWN RD,"(39.3147700,-76.6486600)"
175,7/13/2015 11:42,Medium,WD,DISORDERLY,P151941162,1100 N FULTON AV,"(39.3010590,-76.6462480)"
176,7/13/2015 11:43,Low,SD,OTHER,P151941163,0TH ST/WASHBURN AV,"(39.232295,-76.596826)"
177,7/13/2015 11:43,Medium,SD,DISORDERLY,P151941164,3500 S HANOVER ST,"(39.2403956,-76.6086211)"
178,7/13/2015 11:42,Medium,SD,DISORDERLY,P151941165,1300 W PRATT ST,"(39.2855915,-76.6379934)"
179,7/13/2015 11:45,Medium,SD,DISORDERLY,P151941166,1300 S CAREY ST,"(39.2796040,-76.6343810)"
180,7/13/2015 11:41,Non-Emergency,ED,RECOVER PROPERTY,P151941167,HILLEN ST/EAST ST,"(39.296368,-76.606174)"
181,7/13/2015 11:47,Medium,NW,NARCOTICSOutside,P151941168,3900 W GARRISON AV,"(39.3434810,-76.6804120)"
182,7/13/2015 11:46,Medium,WD,COMMON ASSAULT,P151941169,2500 PENNSYLVANIA AV,"(39.3104900,-76.6435070)"
183,7/13/2015 11:45,High,NE,SILENT ALARM,P151941171,1400 STONEWOOD RD,"(39.3498058,-76.5937958)"
